"Commodity-wise, Market-wise Daily Report on : 01/01/2019 NR : Not Reported",,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Padra,0.4,Tonnes,NR,Other,1750,2000,1850,Rs/Quintal
Talalagir,0.07,Tonnes,NR,Other,3500,4500,4000,Rs/Quintal
Vadhvan,1.7,Tonnes,NR,Methi,1500,2000,1750,Rs/Quintal
Haryana,,,,,,,,
Asandh,0.2,Tonnes,NR,Other,400,500,450,Rs/Quintal
Bapauli,0.74,Tonnes,NR,Methi,1300,1700,1500,Rs/Quintal
Jhajjar,0.3,Tonnes,NR,Other,800,800,800,Rs/Quintal
Kunjpura,0.04,Tonnes,NR,Other,900,900,900,Rs/Quintal
Ladwa,0.3,Tonnes,NR,Methi,700,800,700,Rs/Quintal
Meham,2,Tonnes,NR,Methi,1500,1500,1500,Rs/Quintal
Naraingarh,0.45,Tonnes,NR,Methi,700,1000,1000,Rs/Quintal
Shahzadpur,0.31,Tonnes,NR,Methi,800,1000,814,Rs/Quintal
Sonepat,3.5,Tonnes,NR,Other,600,800,600,Rs/Quintal
Uklana,0.1,Tonnes,NR,Methi,500,500,500,Rs/Quintal
Himachal Pradesh,,,,,,,,
Chamba,0.2,Tonnes,NR,Other,1400,1600,1500,Rs/Quintal
Kangra,0.1,Tonnes,NR,Other,1000,1200,1100,Rs/Quintal
Kangra(Jaisinghpur),0.02,Tonnes,NR,Methi,2000,2000,2000,Rs/Quintal
Kangra(Jassour),0.5,Tonnes,NR,Other,1800,2000,1900,Rs/Quintal
Palampur,0.1,Tonnes,NR,Other,1800,2000,2000,Rs/Quintal
Madhya Pradesh,,,,,,,,
Dhar(F&V),1.2,Tonnes,NR,Methi,600,800,750,Rs/Quintal
Khandwa(F&V),0.2,Tonnes,NR,Methi,500,820,600,Rs/Quintal
Kukshi,0.14,Tonnes,NR,Methi,800,1200,1000,Rs/Quintal
Sanwer,0.12,Tonnes,NR,Other,800,850,825,Rs/Quintal
