Commodity-wise- Market-wise Daily-Report-on -01-01-2019,,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Kannur,30,Tonnes,NR,Other,18200,18300,18250,Rs/Quintal
Kottakkal,2,Tonnes,NR,Copra Oil,18500,18600,18550,Rs/Quintal
Kuthuparambu,2.8,Tonnes,NR,Other,18800,19500,19000,Rs/Quintal
Kuttoor,2.3,Tonnes,NR,Copra Oil,16300,16500,16400,Rs/Quintal
Moovattupuzha,2,Tonnes,NR,Other,16200,16850,16500,Rs/Quintal
Neeleswaram,2,Tonnes,NR,Other,17000,18000,17500,Rs/Quintal
Pandalam,0.3,Tonnes,NR,Copra Oil,19000,19400,19400,Rs/Quintal
Taliparamba,2,Tonnes,NR,Other,18300,18500,18400,Rs/Quintal
Thalasserry,5.88,Tonnes,NR,Other,18050,18200,18100,Rs/Quintal
Thalayolaparambu,0.8,Tonnes,NR,Other,18500,19000,18800,Rs/Quintal
Thodupuzha,4,Tonnes,NR,Other,19500,19700,19700,Rs/Quintal
Dalda,,,,,,,,
Jharkhand,,,,,,,,
Lohardaga,NR,Tonnes,NR,Dalda,7400,7600,7500,Rs/Quintal
Ghee,,,,,,,,
Uttar Pradesh,,,,,,,,
Aligarh,60,Tonnes,NR,Ghee,38650,38750,38700,Rs/Quintal
Kasganj,4,Tonnes,NR,Ghee,35000,36200,35400,Rs/Quintal
Rura,0.6,Tonnes,NR,Ghee,28000,29000,28500,Rs/Quintal
Gingelly Oil,,,,,,,,
Rajasthan,,,,,,,,
Gharsana,1.1,Tonnes,NR,Gingelly Oil,9760,10731,10300,Rs/Quintal
Mustard Oil,,,,,,,,
Assam,,,,,,,,
Goalpara,23.5,Tonnes,NR,Mustard Oil,9000,12000,10000,Rs/Quintal
Howly,29,Tonnes,NR,Mustard Oil,8500,9000,8700,Rs/Quintal
Jorhat,7.76,Tonnes,NR,Other,9000,11000,10000,Rs/Quintal
P.O. Uparhali Guwahati,13.43,Tonnes,NR,Mustard Oil,8911,10720,9815.5,Rs/Quintal
Jharkhand,,,,,,,,
Khunti,NR,Tonnes,NR,Other,9450,9850,9650,Rs/Quintal
Lohardaga,NR,Tonnes,NR,Other,9800,10000,9900,Rs/Quintal
Pakur,0.4,Tonnes,NR,Other,9773,9991,9885,Rs/Quintal
Uttar Pradesh,,,,,,,,
Ajuha,5,Tonnes,NR,Mustard Oil,9650,9750,9700,Rs/Quintal
Aligarh,35,Tonnes,NR,Mustard Oil,9200,9300,9250,Rs/Quintal
Allahabad,4.5,Tonnes,NR,Mustard Oil,9600,9800,9700,Rs/Quintal
Auraiya,0.5,Tonnes,NR,Mustard Oil,8800,9000,8900,Rs/Quintal
Bahraich,1.7,Tonnes,NR,Mustard Oil,9985,10350,10180,Rs/Quintal
Barabanki,1.2,Tonnes,NR,Mustard Oil,9600,9670,9640,Rs/Quintal
Bharthna,1.8,Tonnes,NR,Mustard Oil,9000,9400,9200,Rs/Quintal
Bilsi,0.2,Tonnes,NR,Mustard Oil,8700,8900,8800,Rs/Quintal
Charra,0.2,Tonnes,NR,Mustard Oil,9200,9300,9250,Rs/Quintal
Chhibramau(Kannuj),1,Tonnes,NR,Mustard Oil,9000,9100,9050,Rs/Quintal
Choubepur,1.4,Tonnes,NR,Mustard Oil,9375,9475,9425,Rs/Quintal
Dadri,7,Tonnes,NR,Mustard Oil,9300,9400,9350,Rs/Quintal
Etawah,24,Tonnes,NR,Mustard Oil,8900,9500,9150,Rs/Quintal
Fatehpur,0.8,Tonnes,NR,Mustard Oil,9300,9400,9370,Rs/Quintal
Gazipur,2.5,Tonnes,NR,Mustard Oil,9700,9800,9750,Rs/Quintal
Gurusarai,0.5,Tonnes,NR,Mustard Oil,8050,8150,8100,Rs/Quintal
Haathras,40,Tonnes,NR,Mustard Oil,8400,8600,8500,Rs/Quintal
Hapur,20,Tonnes,NR,Other,9300,9500,9350,Rs/Quintal
Hardoi,2,Tonnes,NR,Mustard Oil,9810,9830,9820,Rs/Quintal
Kasganj,3,Tonnes,NR,Mustard Oil,9160,9220,9170,Rs/Quintal
Kayamganj,1.5,Tonnes,NR,Mustard Oil,9000,9050,9025,Rs/Quintal
Mainpuri,1.5,Tonnes,NR,Mustard Oil,8870,8970,8920,Rs/Quintal
Mauranipur,5.5,Tonnes,NR,Mustard Oil,8050,8150,8100,Rs/Quintal
Meerut,60,Tonnes,NR,Mustard Oil,9230,9350,9250,Rs/Quintal
Mirzapur,3.5,Tonnes,NR,Mustard Oil,9820,9930,9875,Rs/Quintal
Mugrabaadshahpur,1.8,Tonnes,NR,Mustard Oil,9800,9850,9820,Rs/Quintal
Muskara,1.5,Tonnes,NR,Mustard Oil,9100,9200,9150,Rs/Quintal
Muzzafarnagar,11.5,Tonnes,NR,Mustard Oil,9300,9350,9320,Rs/Quintal
Paliakala,1.3,Tonnes,NR,Mustard Oil,9480,9580,9540,Rs/Quintal
Pilibhit,2,Tonnes,NR,Mustard Oil,8940,8970,8955,Rs/Quintal
Pratapgarh,1.5,Tonnes,NR,Mustard Oil,9960,9980,9970,Rs/Quintal
Puwaha,1.2,Tonnes,NR,Mustard Oil,9000,9100,9000,Rs/Quintal
Raath,1.5,Tonnes,NR,Other,8200,8400,8300,Rs/Quintal
Rampur,2.5,Tonnes,NR,Mustard Oil,8925,9000,8965,Rs/Quintal
Safdarganj,6.8,Tonnes,NR,Mustard Oil,9800,9900,9850,Rs/Quintal
Saharanpur,35,Tonnes,NR,Mustard Oil,9220,9400,9300,Rs/Quintal
Shahabad(New Mandi),1.6,Tonnes,NR,Mustard Oil,8900,9100,9000,Rs/Quintal
Sitapur,105,Tonnes,NR,Mustard Oil,9000,9500,9250,Rs/Quintal
Vishalpur,3,Tonnes,NR,Mustard Oil,8850,9000,8925,Rs/Quintal
West Bengal,,,,,,,,
Balarampur,0.69,Tonnes,NR,Other,9930,9980,9960,Rs/Quintal
Birbhum,95,Tonnes,NR,Mustard Oil,9580,9620,9600,Rs/Quintal
Durgapur,18,Tonnes,NR,Other,9750,9833,9775,Rs/Quintal
Jhargram,26,Tonnes,NR,Mustard Oil,10000,11000,10500,Rs/Quintal
Katwa,1.2,Tonnes,NR,Other,9025,10075,9975,Rs/Quintal
Purulia,2.5,Tonnes,NR,Mustard Oil,10533,10600,10600,Rs/Quintal
